RIC,Symbol,Exchange,CompanyName,Sector,Industry,Last
PSW.HN,PSW,HNX,South West PetroVietnam Fertilizer and Chemicals JSC,Industrials,Trading Companies & Distributors,9000
PTB.HM,PTB,HOSE,Phu Tai JSC,Materials,Construction Materials,86000
PTC.HM,PTC,HOSE,Post and Telecommunications Investment and Construction JSC,Industrials,Construction & Engineering,12000
PTD.HN,PTD,HNX,Phuc Thinh Design Construction Trading Corp,Industrials,Construction & Engineering,18000
PTE.HNO,PTE,UPCOM,Phu Tho Cement JSC,Materials,Construction Materials,2300
PTG.HNO,PTG,UPCOM,Phan Thiet Garment Import Export JSC,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",100
PTH.HNO,PTH,UPCOM,Petrolimex Hatay Transportation and Service JSC,Energy,"Oil, Gas & Consumable Fuels",8600
PTI.HN,PTI,HNX,Post & Telecommunication Joint Stock Insurance Corp,Financial,Insurance,31400
PTL.HM,PTL,HOSE,Petro Capital and Infrastructure Investment JSC,Real Estate,Real Estate Management & Development,5390
PTO.HNO,PTO,UPCOM,Post and Telecommunication Services Construction Work JSC,Industrials,Construction & Engineering,2300
PTP.HNO,PTP,UPCOM,Post Printing And Telecommunication Services JSC,Communication Services,Media,15500
PTS.HN,PTS,HNX,Petrolimex Haiphong Transportation and Services Join Stock Co,Energy,"Oil, Gas & Consumable Fuels",8700
PTT.HNO,PTT,UPCOM,Indochina Petroleum Transportation JSC,Energy,"Oil, Gas & Consumable Fuels",4800
PV2.HN,PV2,HNX,PV2 Investment JSC,Real Estate,Real Estate Management & Development,3500
PVA.HNO,PVA,UPCOM,Petrovietnam-Nghe An Construction Joint Stock Corp,Industrials,Construction & Engineering,900
PVB.HN,PVB,HNX,Petrovietnam Coating JSC,Energy,Energy Equipment & Services,16700
PVC.HN,PVC,HNX,Petrovietnam Chemical and Services Corp,Energy,Energy Equipment & Services,12000
PVD.HM,PVD,HOSE,PetroVietnam Drilling & Well Service Corp,Energy,Energy Equipment & Services,23000
PVE.HNO,PVE,UPCOM,Petrovietnam Engineering Consultancy JSC,Energy,Energy Equipment & Services,2600
PVG.HN,PVG,HNX,Petro Vietnam LPG JSC,Energy,"Oil, Gas & Consumable Fuels",9500
PVH.HNO,PVH,UPCOM,Thanh Hoa Petroleum Construction JSC,,,1200
PVI.HN,PVI,HNX,PVI Holdings,Financial,Insurance,41500
PVL.HN,PVL,HNX,Viet Property Investment JSC,Real Estate,Real Estate Management & Development,3800
PVM.HNO,PVM,UPCOM,Petrovietnam Machinery Technology JSC,Industrials,Trading Companies & Distributors,23000
PVO.HNO,PVO,UPCOM,PV Oil Lube JSC,Energy,"Oil, Gas & Consumable Fuels",7900
